aardvark	2.46686762
adder	2.324282455
akita	2.432969291
albatross	2.534026106
alga	3.255272505
alligator	3.08278537
alpaca	2.639486489
amphibian	3.421603927
anaconda	2.778874472
anemone	2.414973348
angelfish	2.045322979
ankole	1.897627091
anole	2.103803721
ant	4.184691431
anteater	2.556302501
antechinus	1.812913357
antelope	3.117271296
antlion	1.72427587
aoudad	0.903089987
ape	3.404833717
aphid	2.565847819
argali	2.383815366
argalis	2.382017043
armadillo	2.706717782
arrowheadshark	0.301029996
asp	2.67669361
ass	3.408239965
avian	3.190331698
avocet	2.354108439
axolotl	1.86332286
baboon	2.835690571
bacterium	3.583198774
badger	3.178976947
baiji	2.204119983
balloonfish	0.301029996
bandicoot	2.557507202
barbet	2.318063335
barracuda	2.382017043
basilisk	2.434568904
bass	2.972202838
bat	3.850033258
bear	4.06069784
beast	3.683947131
beaver	3.495544338
bee	3.572871602
beetle	3.404833717
beluga	2.5132176
bengaltiger	2.557507202
betta	2.029383778
bettong	2.096910013
bi	3.292256071
bighorn	2.904715545
billygoat	1.826074803
bird	4.08278537
bison	3.227886705
bittern	2.403120521
blackbear	3.037426498
blackbird	2.851258349
blackbuck	2.602059991
blacklab	1.62324929
blackmamba	1.812913357
blacksquirrel	1.653212514
blacktaileddeer	1.579783597
blacktip	2.276461804
blackwidow	2.511883361
blesbok	0.954242509
bleu	2.621176282
bloodhound	2.403120521
blowfish	1.944482672
bluebird	2.209515015
bluefootedbooby	1.342422681
bluegill	2.158362492
bluejay	2.338456494
bluewhale	2.701567985
boa	2.728353782
boaconstrictor	2.553883027
boar	3.113943352
bobcat	2.989004616
bobolink	1.748188027
bonobo	2.480006943
bontebok	2.344392274
booby	2.45484486
boto	1.799340549
boubou	2.025305865
brineshrimp	1.959041392
brocket	2.396199347
bronco	2.439332694
brownbear	3.004321374
buck	3.434568904
budgerigar	2.565847819
buffalo	3.602059991
bug	3.596597096
bulbul	2.380211242
bull	3.723455672
bulldog	3.214843848
bullfinch	2.201397124
bullfrog	2.149219113
bullock	2.854913022
bunny	3.318063335
bunting	2.450249108
burro	2.227886705
bushbaby	2.037426498
bushbuck	2.423245874
bushpig	2.367355921
bustard	3.195899652
butterfly	3.5774918
buzzard	2.774516966
caiman	3.045322979
caimans	2.264817823
calf	2.959994838
camel	3.326335861
canary	3.103803721
canine	3.29666519
capuchin	2.627365857
capybara	2.572871602
caracal	2.64738297
caracara	2.336459734
cardinal	3.382017043
caribou	2.673020907
carp	2.761927838
cassowary	2.113943352
cat	4.117271296
caterpillar	2.866287339
catfish	2.805500858
cattle	3.761927838
cavefish	1.633468456
cavy	1.785329835
centipede	2.638489257
chameleon	2.957607287
chamois	2.550228353
cheetah	3.305351369
chick	3.127104798
chickadee	2.064457989
chicken	3.791690649
chihuahua	2.728353782
chimpanzee	3.178976947
chinchilla	2.474216264
chipmunk	2.63447727
chital	2.478566496
chuckwalla	2.152288344
cicada	2.403120521
cichlids	2.281033367
civet	2.800029359
clam	2.619093331
cliffchat	0.84509804
clownfish	2.123851641
coati	2.603144373
coatimundi	1.477121255
cobra	3.173186268
cock	3.133538908
